transaction_id,customer_id,product_id,category,price,quantity,timestamp
T00001,C35121,P67365,Sports,996.63,8,2024-04-20 02:14:26+00:00
T00002,C86716,P75923,Apparel,943.18,5,2024-11-29 20:45:52+00:00
T00003,C85926,P39874,Electronics,363.72,5,2024-05-03 23:53:51+00:00
T00004,C44888,P25715,Beauty,905.45,9,2024-12-09 05:00:22+00:00
T00005,C22923,P72744,Toys,550.47,9,2024-04-15 20:10:27+00:00
T00006,C72416,P20044,Sports,505.24,4,2024-11-15 00:18:09+00:00
T00007,C51004,P16480,Books,666.42,1,2024-06-29 15:59:52+00:00
T00008,C40215,P83382,Beauty,954.56,2,2024-10-14 05:36:20+00:00
T00009,C20836,P16575,Beauty,362.58,5,2024-03-24 23:03:27+00:00
T00010,C47071,P13705,Home,208.49,2,2024-12-25 00:43:26+00:00
T00011,C73943,P54699,Apparel,829.33,10,2024-05-27 19:11:49+00:00
T00012,C74243,P78805,Beauty,521.75,1,2024-08-17 03:12:27+00:00
T00013,C92940,P30065,Toys,126.52,4,2024-10-18 08:44:13+00:00
T00014,C43897,P60492,Toys,63.51,10,2024-02-07 22:50:17+00:00
T00015,C67669,P17282,Sports,476.15,5,2024-07-22 22:08:50+00:00
T00016,C24438,P53998,Home,434.04,1,2024-10-31 09:41:36+00:00
T00017,C31830,P82730,Electronics,191.49,2,2024-11-23 07:20:13+00:00
T00018,C69510,P63556,Sports,328.05,9,2024-05-20 10:56:09+00:00
T00019,C11026,P95102,Sports,909.95,3,2024-01-21 09:56:34+00:00
T00020,C36180,P28795,Books,488.5,9,2024-12-22 22:53:12+00:00
T00021,C89756,P58193,Apparel,446.62,5,2024-04-22 20:15:27+00:00
T00022,C31828,P57298,Books,851.28,2,2024-02-21 03:08:31+00:00
T00023,C37162,P20579,Sports,430.4,10,2024-10-11 17:41:51+00:00
T00024,C70566,P73888,Beauty,713.62,7,2024-11-29 07:13:50+00:00
T00025,C99081,P98775,Beauty,450.92,10,2024-01-01 04:53:30+00:00
T00026,C82662,P71245,Apparel,806.63,10,2024-12-31 09:07:11+00:00
T00027,C10146,P30777,Home,321.49,7,2024-08-18 05:18:12+00:00
T00028,C79969,P64127,Beauty,912.59,1,2024-02-24 20:25:49+00:00
T00029,C82855,P88215,Electronics,539.77,8,2024-05-24 02:37:15+00:00
T00030,C33190,P79018,Books,980.99,8,2024-04-15 13:43:16+00:00
T00031,C57891,P39299,Toys,261.92,2,2024-03-16 02:00:40+00:00
T00032,C84365,P47709,Books,588.88,9,2024-06-07 11:12:09+00:00
T00033,C11652,P59366,Books,716.16,2,2024-01-29 22:56:27+00:00
T00034,C21178,P27819,Books,531.13,7,2024-06-08 14:23:42+00:00
T00035,C75662,P84977,Sports,541.03,6,2024-05-01 08:35:50+00:00
T00036,C30288,P80665,Books,751.24,5,2024-04-22 12:12:48+00:00
T00037,C18315,P14523,Beauty,228.84,9,2024-03-28 23:59:29+00:00
T00038,C81894,P16444,Toys,324.5,6,2024-11-27 04:45:45+00:00
T00039,C35202,P42290,Sports,556.67,9,2024-06-29 13:06:44+00:00
T00040,C29455,P53125,Books,457.44,9,2024-03-21 07:53:58+00:00
T00041,C49380,P76575,Toys,864.6,2,2024-04-25 08:44:50+00:00
T00042,C36107,P36072,Home,43.78,7,2024-06-26 02:39:12+00:00
T00043,C90526,P19085,Toys,612.88,4,2024-01-01 18:03:33+00:00
T00044,C86880,P10275,Apparel,264.26,1,2024-02-29 11:39:18+00:00
T00045,C75026,P53351,Toys,746.79,7,2024-02-01 07:03:17+00:00
T00046,C85890,P97173,Toys,609.77,10,2024-02-29 23:16:21+00:00
T00047,C83115,P40147,Electronics,851.39,6,2024-06-25 02:59:48+00:00
T00048,C54273,P41241,Beauty,699.55,8,2024-07-12 08:57:27+00:00
T00049,C81056,P54327,Apparel,431.87,5,2024-01-05 21:36:57+00:00
T00050,C69711,P25624,Home,186.36,9,2024-09-02 08:57:00+00:00
T00051,C47695,P73717,Electronics,597.47,5,2024-06-18 22:42:33+00:00
T00052,C69712,P35904,Electronics,967.59,8,2024-09-08 00:58:29+00:00
T00053,C27978,P87530,Electronics,594.48,3,2024-03-05 17:37:23+00:00
T00054,C20939,P33687,Electronics,641.65,8,2024-10-13 15:50:04+00:00
T00055,C12199,P43969,Apparel,113.36,7,2024-06-13 09:07:40+00:00
T00056,C37912,P77333,Home,708.25,10,2024-12-16 18:57:45+00:00
T00057,C12807,P64516,Toys,689.17,7,2024-03-01 02:22:37+00:00
T00058,C66496,P63324,Electronics,561.36,10,2024-09-19 07:09:58+00:00
T00059,C87427,P73754,Sports,534.79,1,2024-02-18 21:04:41+00:00
T00060,C37555,P58319,Sports,735.7,7,2024-11-28 20:01:28+00:00
T00061,C34174,P38998,Books,149.42,3,2024-05-29 08:33:47+00:00
T00062,C98046,P13524,Electronics,774.96,4,2024-11-16 12:42:04+00:00
T00063,C95473,P17815,Electronics,254.49,8,2024-09-24 17:15:38+00:00
T00064,C33621,P75289,Beauty,255.58,5,2024-01-12 10:21:36+00:00
T00065,C88607,P89901,Apparel,678.58,1,2024-12-21 16:28:36+00:00
T00066,C93783,P53322,Sports,305.75,8,2024-08-20 14:56:14+00:00
T00067,C77611,P53830,Books,126.34,7,2024-01-18 00:39:45+00:00
T00068,C75173,P27942,Apparel,651.12,8,2024-08-26 14:24:48+00:00
T00069,C72939,P16405,Beauty,667.72,1,2024-08-21 04:12:58+00:00
T00070,C19366,P17033,Beauty,836.68,3,2024-01-11 04:53:33+00:00
T00071,C91275,P58369,Books,342.42,8,2024-05-07 18:25:45+00:00
T00072,C30320,P67948,Beauty,799.41,4,2024-09-27 19:36:28+00:00
T00073,C49434,P19772,Electronics,968.4,3,2024-03-01 08:28:09+00:00
T00074,C52485,P39474,Home,431.33,8,2024-05-01 20:09:49+00:00
T00075,C96560,P44294,Apparel,554.43,2,2024-03-12 16:26:29+00:00
T00076,C41504,P63990,Electronics,417.69,7,2024-08-20 19:58:42+00:00
T00077,C90805,P11698,Sports,312.55,9,2024-06-17 09:24:19+00:00
T00078,C52210,P46724,Apparel,396.46,5,2024-03-10 13:08:52+00:00
T00079,C94733,P17017,Sports,123.48,1,2024-05-31 05:34:15+00:00
T00080,C84229,P49412,Apparel,982.6,1,2024-07-26 08:49:27+00:00
T00081,C19815,P97131,Electronics,525.91,1,2024-07-23 16:20:00+00:00
T00082,C19338,P15689,Toys,185.96,4,2024-09-23 16:58:49+00:00
T00083,C49939,P89123,Books,36.87,7,2024-10-06 01:56:00+00:00
T00084,C16026,P23741,Home,268.01,10,2024-09-29 23:53:16+00:00
T00085,C58893,P55929,Toys,403.29,4,2024-11-17 11:23:51+00:00
T00086,C14574,P31273,Home,556.81,8,2024-01-22 20:48:11+00:00
T00087,C69697,P34588,Beauty,883.08,9,2024-07-09 17:04:10+00:00
